[INFO] [1788546603.327555055] [robot_state_publisher]: Robot initialized
[WARN] [1788546606.706572602] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546606.725114145] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546606.785393067] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546606.797721748] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546606.800564008] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546606.837643261] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546606.888755267] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.036482141] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.099919866] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.180741570] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.194073976] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.313768129] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.728332212] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.749235713] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.778340362] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.798545017] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.852957079] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.876538086] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.887663620] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.902621681] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.940365693] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.974011423] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.977974703] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.992367753] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546607.995461101] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.000526775] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.010178532] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.013118209] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.020869431] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.036355626] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.045201909] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.059392372] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.094007659] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.124827086] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.137151473] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.151890863] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.180858673] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.201450667] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.294775090] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.325408013] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.390340927] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.408540753] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.420586636] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.462331717] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.488606896] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.495134138] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.527866850] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.574779524] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.590943438] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.642810076] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.705615993] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.720151295] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.730510981] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.737404521] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.740468118] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.744600858] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546608.751504399] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
